VideoID,captions,cluster,cluster_letra
0XtoXITfDy8,green cutting mat white line person holding small electronic device,2,C
24YsiQewxeQ,girl sitting table laptop girl sitting table laptop person working project wire,2,C
4bdXOms1BeU,person making heart paper person making paper bird,2,C
5Auq_8z_qSg,person holding small robot small robot sitting table,2,C
63LbwNScJAM,hand holding apple electronic device hand holding apple small circuit hand holding apple small electronic device hand holding apple small electronic device,2,C
6yJJfFjb2z0,person making paper fish person drawing board table bunch different colored paper,2,C
7Q22PHY6nP8,robot sitting table computer,2,C
7UKiv4KsZDg,person holding small electronic device young boy sitting desk laptop boy sitting table small device person holding small electronic device,2,C
7Usk_Gcn_hc,green cutting mat ruler laptop computer sitting top desk police car blue light,2,C
7fCC4xob94A,robot box wire,2,C
AvKY1yCwB8o,person using circuit make circuit,2,C
BFgqhoX5BE4,person putting cup bunny person making bunny paper,2,C
Ca340RM9zhA,green screen white background two men black shirt sitting table two men sitting table laptop two men sitting table laptop two men sitting table laptop two men sitting table laptop two men sitting table talking two men black shirt talking one holding microphone two men black shirt talking one holding microphone two men black shirt sitting table two men black shirt sitting table two men black shirt talking laughing two men black shirt talking gesturing two men black shirt talking one holding hand two people sitting table laptop two men black shirt talking one pointing camera two men sitting table laptop two men sitting table laptop two men black shirt standing room two men sitting table talking two men black shirt sitting table two men black shirt talking one pointing camera two men sitting table laptop two men black shirt talking one holding microphone two men black shirt talking one holding hand two men black shirt sitting table two men black shirt sitting table two men black shirt talking gesturing two men black shirt talking men two men black shirt standing room two men sitting table talking two men standing room laptop two men black shirt talking gesturing two men black shirt talking talking two men black shirt talking one holding microphone two men black shirt standing next men two men black shirt sitting table two men black shirt talking gesturing two men sitting table hand clasped two men sitting table laptop two men sitting table talking two men sitting table talking two men black shirt talking one holding microphone two men sitting table talking two men black shirt standing room two men black shirt sitting table two men sitting table laptop two men black shirt sitting table two people black shirt sitting table two men sitting table talking two men black shirt standing next men two men black shirt sitting table two men sitting table laptop two men sitting table laptop two men black shirt talking one pointing man two young men sitting table talking two men black shirt standing front wall two men sitting table laptop two men sitting table hand clasped two men black shirt sitting table two men black shirt talking pointing camera two men sitting table talking two men sitting table laptop two men black shirt sitting table two men black shirt talking one holding microphone two men sitting table laptop two men black shirt talking one holding microphone two men sitting table laptop two men sitting table one pointing camera two men sitting table talking two men black shirt talking man two men sitting table laptop two people black shirt sitting table two men sitting table laptop two men black shirt sitting table two men black shirt talking gesturing two men black shirt talking laughing two men sitting table laptop two young men black shirt talking two men black shirt talking one holding microphone two men black shirt sitting table two young men black shirt sitting table two men black shirt talking talking two men sitting table laptop two men sitting table talking two men black shirt sitting table two men sitting table talking two men black shirt talking one pointing camera two men black shirt talking smiling two men sitting table laptop two men black shirt standing room two men sitting table talking two men sitting table laptop green white triangle white triangle two men black shirt sitting table two men sitting table talking two men black shirt sitting table two men sitting table laptop two men sitting table laptop two men sitting table laptop two men sitting table picture two men sitting table laptop two men sitting table talking two men sitting table laptop two men sitting table laptop two men sitting table one pointing two men sitting table talking two men sitting table laptop two men black shirt talking laughing two men black shirt talking one holding microphone two men black shirt talking gesturing two men talking room two men sitting table laptop two men black shirt standing room,2,C
CtvO3yZZmpA,wooden table white orange background small toy car sitting table,2,C
FEtprl6I9_w,black white photo person dark child playing lego block toy person making lego toy child playing lego block person making lego lego block colorful wall large number different color child playing toy made lego two child playing lego block toy child playing toy made lego young girl working project lego child playing tray lego person holding tablet map child playing lego building block child holding box picture child whiteboard word person making lego craft lego block person holding piece paper word hello,2,C
FFBSI9VGphA,robot sitting table,2,C
G0OyNjTZs84,person working circuit girl sitting table piece paper girl sitting table computer,2,C
HFTRoBMGGOI,lighter lighter lighter person holding lighter lighter,2,C
JOfCZohKHrw,hand holding small purple octopus small box make paper flower person holding small box candle person holding brown paper white wooden table purple toy big eye big smile person holding purple octopus toy person holding small purple octopus person holding paper box pen picture door smile make paper house make paper box element called tower make paper airplane person holding toy hand make paper box yellow brown floral background word happy birthday make wood wall make paper box pencil automatic ploidive explore even change mechanical person painting wooden wall paint brush person holding box piece paper,2,C
PTelAW-QYVI,person writing piece paper glass blue arrow,2,C
Q9r4Kvr8Qsg,green cutting mat ruler person using small device make robot,2,C
Soj850lcZiA,amazon price amazon person holding small electronic device man sitting table microphone,2,C
T7YEmRTa5MQ,bottle water inside table person holding white light bulb person putting plastic container plastic container,2,C
V3NJdxTRRts,person holding cell phone cube person holding rub rub rub rub rub rub rub rub rub rub rub rub rub rub rub rub person holding phone rub rub rub rub rub rub rub rub rub rub rub rub rub,2,C
VHiacccJw7g,group child sitting around table teacher student classroom classroom child sitting desk teacher teaching girl sitting desk front bookcase classroom teacher student background group child sitting table laptop classroom people sitting desk green screen group people standing around desk group child sitting desk woman two child playing robot woman standing front classroom teacher teaching group student room chair table man standing front laptop computer two young girl sitting table writing group people classroom whiteboard,2,C
WUCBeeATyMU,3d printer printer machine toy car held hand,2,C
f3CK3mE_r9c,person holding toy car group electronic device sitting table,2,C
giaCldbGKAQ,green plastic cutting mat white logo person holding small white board,2,C
kEFwaP4_6FM,workbox logo small robot ground small wooden toy sy sys white table white table top white table top,2,C
ksG87OUZOkA,build mini truct make paper flower remove eraser pencil person holding pencil writing person holding toothbrush toothbrush make crochet white background word cuposick make sure popstick rate person making wooden model place eni n ete top vur person making wooden doll person holding small wooden object white background word tape small string erase person cutting wooden stick pair scissors person drawing piece cardboard man making cardboard box pencil white background word hoktring paper clip white background word glut transs together white background black white quote small wooden clothes hanger piece cardboard white background word battery end popstick quote say straight one paper leaving slightly upward,2,C
lkFejnE_6Mo,small robot sitting table person holding small device small device attached,2,C
lmv4YmB-q5A,small house microphone microphone small robot sitting ground,2,C
o7DMHJKhpws,person holding small piece electronics laptop small device top,2,C
tRbpSljw5-s,black background white border group girl working project two child sitting bed library green logo word teacher com woman red shirt holding microphone group child playing pink board two girl yellow shirt working project,2,C
