ID,cluster_engage,cluster_transcript,cluster_caption,cluster
9IVxOTuRVBk,2,4,E,2
6XuPwdESzqc,2,3,B,2
6Th-RGQShjc,2,4,A,2
zO5lxz3Tmxo,2,4,B,2
tmYUZSytIdE,2,4,B,2
Ciiyz68E3a0,2,4,B,2
mg7VAT0bEcg,1,4,B,2
htmJbUtFmKE,3,4,B,2
Zuigm5JqxQs,3,1,B,2
