ID,transcription,cluster
24YsiQewxeQ,name Rebecca Im studying dont miss Ill send little bit 4317 53 445,2
85WsCSmW3Xc,simple math literally eye closed,2
7Usk_Gcn_hc,yo Mikey come look finally finished LED,2
63LbwNScJAM,simple circuit detect difference green red using photo resistor measure amount reflected light red LED photo resistor form voltage divider potentiometer output voltage divider go gate mosfet control indicator LED enough red light reflected voltage get high enough exceed gate threshold voltage turn LED enough light reflected voltage low indicator LED stay,2
1ibpxkWlcoE,photo resistor theyre alarm street light got know work change resistance based amount light exposed semiconductor material work something called photoconductivity zoom atom see electron low energy State called valence band bound atom can not move conduction band electron free move around light made tiny energy packet called photon hit semiconductor energize electron make jump conduction band creating current circuit reducing resistance there photon fall back valence band becomes dry let hook build mini street light circuit get darker photo resistor detects decrease light use turn LED comic book know,2
0wyyX1FspRE,marked vice president education BSD today Im going answer question edtech well lot experience around world set developer really thought kind extension part stem bit Broad include lot different type learning make education example stem kind leaf humanity history social study make education envelop idea really know make education using tool equipment material unique way student get build design make thing creation Tinker thing done science class student making laboratory equipment done math student building trebuchet learning trajectory thing done social study student building artifact historical reenactment really empowering student knowledge skill design build make thing youll name maker education making thing go,2
9JY2vuxdWnU,hello welcome Kit house steam professional development educator video series really excited share insight expertise video get started steam science technology engineering art math today joined founder nonprofit Los Angeles Makerspace cofounder kid Hub also founder DIY girl Im Rebecca Wilkins education specialist former classroom teacher call really appeal girl interest pair science engineering interest one example thats fantastic Fashion technology girl apply Electronics clothing backpack notebook really look talk girl youre working find theyre given time Im sure find really interesting project incorporate safety safety safety first youre thinking Electronics youre probably thinking know electricity dangerous lot great resource understand make environment safe home take apart Electronics kit includes safety precaution great resource local Makerspace hackerspaces Community meetups go meet Cam youll find wonderful local group get together work project ranging various citizen science initiative bioengineering even building rocket ship resource really like guide set maker type space go instructablescom lot project idea crowdsourced community Google making DIY Im sure youll come lot resource go CC youre worried cost incorporating steam classroom school setting thing think one project really dont expensive know think Electronics might think robot know Arduino thing definitely cost lot money know youre starting steam think keeping thing simple kid light LED first time delighted face literally light thats LED coin cell battery need funding resource like donor choose various education grant youre classroom setting go parent Association Im sure theyll happy help last know hear Educators concerned dont background science engineering concerned theyre right person facilitate project say correct absolutely period mission really empower parent Educators bring steam kid life know much fun kid thank much joining u video head CC youll find resource video stop video wanted say hello Tara please feel free add comment question want add conversation would delighted hear feel free email u hello atcc Twitter home hope see soon bye lot Educators contact u get started steam usually reply keep simple tip get started Ill make sure project goal clear dont expert Steam create steam project thats something emphasize Educators one way get started many lesson less 30 minute hand project using simple material get used teaching Steam also student used different type material available encourage Educators let student go whatever Direction want take project lot time student ask work way lot dont know answer none u know answer let student explore figure thats part steam supply important lot supply keep classroom library school space case student idea always bit material use another option use kit lot time kid involve Electronics material make easy student create project lot Educators think steam high school student maybe Middle School people think steam think robotics competition complicated project big take 10 week finish done team competition thats true get started younger kid Elementary School perfect kid want take risk theyre excited want make thing especially get take home thats excited share family teacher sometimes say cant get started teaching steam there enough time solution integrate seem subject becoming really important classroom steam crew becoming high demand really important find way teach steam Concepts even maybe one main subject even teach one subject integration provides higher platform student youre learning early American settler student study art period evaluate style piece reflect student know time period important provide opportunity reflect learning Steam lesson especially youre integrating help student gather thought integrated lesson make connection better integrating steam provides great opportunity student learn skill reflection synthesis skill important every subject thing Ive discovered classroom far integrating lesson kind kind Educators classroom integrate school educator parent well type steam project lesson really diverse commonly think steam activity active studentcentered three type lesson provide high level Engagement researchbased way teach steam subject HandsOn project easiest begin short simple theyre great classroom school type setting inquirybased lesson potentially involved require planning high payoff changing way student relate learning inquiry lesson prepare student steam career teaching sync solve problem teacher push student discover information act guide question thinking rather standing front telling student housing work really important thing teacher provide inquiry lesson making sure misconception steam thing work thing science work know math problem solved teacher act guide make sure student right track lastly processed space lesson mean student use process solve problem common process teacher use classroom scientific method use engineering process process evaluate process solve math problem create routine steam lesson kind mimic steam subject done real world steam requires material supply HandsOn project good news may already easily get supply need lot time youre school there construction paper pipe cleaner container cup use different type project easily go store buy way getting material asking student bring know recycled material like example cereal box container anything may available home bring make project usually like keep basic space like popsicle stick magnet battery duct tape different type container anything made project lot time people donate u material people know youre steam project theyll think want donate material collect could also take advantage online platform youre classroom teacher there donor choose crowdfunding platform raise buy something especially youre buying kit anything thats little bit expensive may available community thats extra tip one question get really frequently get girl engaged Steam know there different way may girl different think know find,2
fiO27fz3DJI,show charger,2
G0OyNjTZs84,hello name Anu jaiswal studying acps school today made decision using delete account,2
14XvT5iEfns,rule like 50 rule first one change second one doesnt maybe roller second one changed third one triple could oil like Madness number exception rule every single rule like sort maybe kind work case important logic fast get think probably information measure vibration something well thats interesting question infer thing didnt put little piece inside position also know outside generally traction free show got final result let start thinking generally community business problem classical Community thing put many sens make assumption much inside see happens let try show work first question anything need equation motion written 722 equation two separate way equation potential 5 known pressure size known one share wave receiving symmetry 2D like cylinder cylindrical domain youre going get one chance equation positive wanted change geometry want attach something layer want thing youre going fundamentally change home Dollar General make work thing dont work well doesnt work doesnt tell may may like getting right place 40 minute Pokemon already writing component related component thats make easy solve result number Kansas resolution need resolve much smaller distance sensor doesnt work thats would get well three sens work put absolutely would need one Sensor One unknown would solution look course localized effect toy,2
AVlggsXkiLc,hey dont even think 855 set timer 20 minute play control company Mississippi direction signature Song Jeremy apartment application Spangled Banner company Sarasota customer service Casa De La Familia Beach Resort Candy Crush put dinner music music bike background noise telephone number period downtown Atlanta dissected gym volume 9 0 5 Marshall Michigan antara song Cinderella thank much Air Force simple soup recipe play Casa Factory Outlet come stinking thing dear father daughter make dance program phone could okay thank Mama song driving direction multicast Tractor Supply Thomas theme video Akeisha movie YouTube music Scott skip song music video Im going church cancel alarm please Christian song Girl stuff Ikea Temple Elementary Italian restaurant Ill hit school world instrument normal okay okay real estate princess Buddhism place Texas 256 Taqueria tomorrow listen horizon see take eye open Google music YouTube cancel 620 tomorrow OK Google alarm 730 tomorrow,2
IkxkU2xquKY,getting started Arduino Raspberry Pi dont know well come check 37 1 sensor kit Inland get started whole lot project piece connect Arduino Raspberry Pi there plenty documentation project get started right weve got one sensor hooked DHT 11 sensor weve got hooked pin ground power readout computer screen temperature humidity maker Lab Microcenter make sure get local Micro Center pick kit try rest sensor,2
